Date,Price,Open,High,Low,Vol.,Change %
28-07-2019,77.405,76.6395,77.451,75.9895,,1.03%
21-07-2019,76.618,77.247,77.491,76.481,,-0.82%
14-07-2019,77.25,77.26,77.686,76.9135,,0.00%
07-07-2019,77.249,76.8215,77.3435,76.73,,0.57%
30-06-2019,76.81,78.3995,78.4375,76.7425,,-1.99%
23-06-2019,78.371,79.0895,79.2705,78.234,,-0.95%
16-06-2019,79.119,78.325,79.186,77.779,,1.12%
09-06-2019,78.24,78.5375,78.8015,78.224,,-0.42%
02-06-2019,78.569,77.707,78.869,77.3595,,1.01%
26-05-2019,77.786,77.667,78.1215,77.565,,0.10%
19-05-2019,77.708,78.4185,78.496,77.3485,,-0.91%
12-05-2019,78.423,78.704,79.5055,78.288,,-0.26%
05-05-2019,78.63,77.411,79.079,77.107,,1.63%
28-04-2019,77.368,77.9005,78.353,77.1125,,-0.63%
21-04-2019,77.858,78.045,78.6025,77.8025,,-0.24%
14-04-2019,78.049,78.185,78.7845,77.899,,-0.16%
07-04-2019,78.173,77.595,78.567,77.5565,,0.80%
31-03-2019,77.556,77.6115,77.999,76.779,,-0.06%
24-03-2019,77.599,78.273,78.304,77.473,,-0.82%
17-03-2019,78.241,78.087,78.761,77.5475,,0.18%
10-03-2019,78.097,78.682,78.9975,78.007,,-0.72%
03-03-2019,78.66,80.7905,80.9115,78.219,,-2.58%
24-02-2019,80.744,80.5355,81.3325,80.291,,0.25%
17-02-2019,80.544,80.5065,81.028,80.434,,0.00%
10-02-2019,80.542,80.6235,80.7095,79.626,,-0.08%
03-02-2019,80.61,81.8285,82.284,80.4245,,-1.46%
27-01-2019,81.804,80.872,82.0715,80.8185,,1.18%
20-01-2019,80.85,80.9585,81.3705,80.1895,,-0.05%
13-01-2019,80.89,80.7435,81.6115,80.5255,,0.23%
06-01-2019,80.707,79.2315,81.622,79.126,,1.87%
30-12-2018,79.227,80.024,80.346,79.1595,,-0.96%
23-12-2018,79.998,79.7815,80.605,79.4735,,0.31%
16-12-2018,79.752,81.3235,81.374,79.514,,-1.92%
09-12-2018,81.316,80.7945,82.9185,80.6385,,0.89%
02-12-2018,80.599,78.802,80.954,78.802,,2.29%
25-11-2018,78.798,80.137,80.631,78.729,,-1.65%
18-11-2018,80.117,82.1075,82.2285,80.0205,,-2.51%
11-11-2018,82.181,82.127,82.561,81.2465,,0.05%
04-11-2018,82.143,82.52,83.709,82.015,,-0.39%
28-10-2018,82.467,83.796,84.078,82.3755,,-1.56%
21-10-2018,83.775,84.4325,84.6785,83.1375,,-0.82%
14-10-2018,84.471,85.086,85.846,83.9705,,-0.73%
07-10-2018,85.096,84.9835,86.182,84.8475,,0.11%
30-09-2018,84.999,84.166,85.3505,83.9,,1.00%
